ActParamList	[(, ID, INTC, ε]
ActParamMore	[,, ε]
AddOp	[+, -]
ArrayType	[ARRAY]
AssCall	[(, ., :=, []
AssignmentRest	[., :=, []
BaseType	[CHAR, INTEGER]
CallStmRest	[(]
CmpOp	[<, =]
ConditionalStm	[IF]
DeclarePart	[PROCEDURE, TYPE, VAR, ε]
Exp	[(, ID, INTC]
Factor	[(, ID, INTC]
FidMore	[,, ε]
FieldDecList	[ARRAY, CHAR, INTEGER]
FieldDecMore	[ARRAY, CHAR, INTEGER, ε]
FieldVar	[ID]
FieldVarMore	[[, ε]
FormList	[ID]
IdList	[ID]
IdMore	[,, ε]
InputStm	[READ]
Invar	[ID]
LoopStm	[WHILE]
Low	[INTC]
MultOp	[*, /]
OtherFactor	[*, /, ε]
OtherRelE	[<, =]
OtherTerm	[+, -, ε]
OutputStm	[WRITE]
Param	[ARRAY, CHAR, ID, INTEGER, RECORD, VAR]
ParamDecList	[ARRAY, CHAR, ID, INTEGER, RECORD, VAR]
ParamList	[ARRAY, CHAR, ID, INTEGER, RECORD, VAR, ε]
ParamMore	[;, ε]
ProcBody	[BEGIN]
ProcDec	[PROCEDURE, ε]
ProcDecMore	[PROCEDURE, ε]
ProcDecPart	[PROCEDURE, TYPE, VAR, ε]
ProcDeclaration	[PROCEDURE]
ProcName	[ID]
Program	[PROGRAM]
ProgramBody	[BEGIN]
ProgramHead	[PROGRAM]
ProgramName	[ID]
RecType	[RECORD]
RelExp	[(, ID, INTC]
ReturnStm	[RETURN]
Stm	[ID, IF, READ, RETURN, WHILE, WRITE]
StmList	[ID, IF, READ, RETURN, WHILE, WRITE]
StmMore	[;, ε]
StructureType	[ARRAY, RECORD]
Term	[(, ID, INTC]
Top	[INTC]
TypeDec	[TYPE, ε]
TypeDecList	[ID]
TypeDecMore	[ID, ε]
TypeDeclaration	[TYPE]
TypeId	[ID]
TypeName	[ARRAY, CHAR, ID, INTEGER, RECORD]
VarDec	[VAR, ε]
VarDecList	[ARRAY, CHAR, ID, INTEGER, RECORD]
VarDecMore	[ARRAY, CHAR, ID, INTEGER, RECORD, ε]
VarDeclaration	[VAR]
VarIdList	[id]
VarIdMore	[,, ε]
VariMore	[., [, ε]
Variable	[ID]
